净值日期   ,单位净值,复权净值,涨跌幅
2020-11-30,1,1,0%
2020-12-01,1,1,0%
2020-12-02,1,1,0%
2020-12-03,1,1,0%
2020-12-04,1,1,0%
2020-12-07,1,1,0%
2020-12-08,1,1,0%
2020-12-09,1,1,0%
2020-12-10,1,1,0%
2020-12-11,1,1,0%
2020-12-14,0.996,0.996,-0.4%
2020-12-15,0.99,0.99,-0.6%
2020-12-16,0.993,0.993,0.3%
2020-12-17,0.993,0.993,0%
2020-12-18,1.002,1.002,0.91%
2020-12-21,1.016,1.016,1.4%
2020-12-22,1.016,1.016,0%
2020-12-23,1.018,1.018,0.2%
2020-12-24,1.017,1.017,-0.1%
2020-12-25,1.009,1.009,-0.79%
2020-12-28,1.004,1.004,-0.5%
2020-12-29,0.995,0.995,-0.9%
2020-12-30,0.999,0.999,0.4%
2020-12-31,1.001,1.001,0.2%
2021-01-04,1.005,1.005,0.4%
2021-01-05,1.005,1.005,0%
2021-01-06,1.012,1.012,0.7%
2021-01-07,1.02,1.02,0.79%
2021-01-08,1.026,1.026,0.59%
2021-01-11,1.034,1.034,0.78%
2021-01-12,1.032,1.032,-0.19%
2021-01-13,1.034,1.034,0.19%
2021-01-14,1.025,1.025,-0.87%
2021-01-15,1.014,1.014,-1.07%
2021-01-18,1.001,1.001,-1.28%
2021-01-19,0.99,0.99,-1.1%
2021-01-20,0.983,0.983,-0.71%
2021-01-21,0.971,0.971,-1.22%
2021-01-22,0.967,0.967,-0.41%
2021-01-25,0.966,0.966,-0.1%
2021-01-26,0.966,0.966,0%
2021-01-27,0.962,0.962,-0.41%
2021-01-28,0.963,0.963,0.1%
2021-01-29,0.96,0.96,-0.31%
2021-02-01,0.952,0.952,-0.83%
2021-02-02,0.96,0.96,0.84%
2021-02-03,0.961,0.961,0.1%
2021-02-04,0.953,0.953,-0.83%
2021-02-05,0.955,0.955,0.21%
2021-02-08,0.953,0.953,-0.21%
2021-02-09,0.952,0.952,-0.1%
2021-02-10,0.95,0.95,-0.21%
2021-02-18,0.993,0.993,4.53%
2021-02-19,0.999,0.999,0.6%
2021-02-22,1.033,1.033,3.4%
2021-02-23,1.042,1.042,0.87%
2021-02-24,1.041,1.041,-0.1%
2021-02-25,1.071,1.071,2.88%
2021-02-26,1.054,1.054,-1.59%
2021-03-01,1.054,1.054,0%
2021-03-02,1.037,1.037,-1.61%
2021-03-03,1.05,1.05,1.25%
2021-03-04,1.052,1.052,0.19%
2021-03-05,1.037,1.037,-1.43%
2021-03-08,1.059,1.059,2.12%
2021-03-09,1.047,1.047,-1.13%
2021-03-10,1.029,1.029,-1.72%
